Date,Open,High,Low,Close,Adj Close,Volume
1992-09-22,1.633928,1.669642,1.616071,1.633928,1.542464,27885200
1992-09-23,1.696428,1.696428,1.625000,1.696428,1.601466,30993200
1992-09-24,1.651785,1.705357,1.651785,1.651785,1.559322,31413200
1992-09-25,1.625000,1.660714,1.616071,1.625000,1.534035,34367200
1992-09-28,1.598214,1.607142,1.562500,1.598214,1.508750,37380000
1992-09-29,1.602685,1.625000,1.571428,1.602685,1.512970,39317600
1992-09-30,1.611613,1.625000,1.589285,1.611613,1.521399,25012400
1992-10-01,1.580357,1.611613,1.580357,1.580357,1.491892,30542400
1992-10-02,1.562500,1.598214,1.535714,1.562500,1.475034,28344400
1992-10-05,1.553571,1.562500,1.482142,1.553571,1.466605,66239600
1992-10-06,1.598214,1.607142,1.526785,1.598214,1.508750,28361200
1992-10-07,1.562500,1.616071,1.553571,1.562500,1.475034,28327600
1992-10-08,1.553571,1.580357,1.535714,1.553571,1.466605,31743600
1992-10-09,1.549113,1.571428,1.535714,1.549113,1.462397,14686000
1992-10-12,1.571428,1.580357,1.544642,1.571428,1.483463,17908800
1992-10-13,1.620542,1.642857,1.571428,1.620542,1.529828,36794800
1992-10-14,1.642857,1.651785,1.607142,1.642857,1.550893,23931600
1992-10-15,1.625000,1.642857,1.616071,1.625000,1.534035,18855200
1992-10-16,1.750000,1.767857,1.660714,1.750000,1.652038,112831600
1992-10-19,1.750000,1.758928,1.732142,1.750000,1.652038,49011200
1992-10-20,1.754471,1.785714,1.732142,1.754471,1.656259,71811600
1992-10-21,1.732142,1.767857,1.714285,1.732142,1.635180,28562800
1992-10-22,1.741071,1.758928,1.723214,1.741071,1.643610,21117600
1992-10-23,1.741071,1.767857,1.723214,1.741071,1.643610,22856400
1992-10-26,1.839285,1.839285,1.732142,1.839285,1.736326,62672400
1992-10-27,1.839285,1.875000,1.821428,1.839285,1.736326,52990000
1992-10-28,1.866071,1.883928,1.812500,1.866071,1.761612,49148400
1992-10-29,1.901785,1.928571,1.839285,1.901785,1.795327,53334400
1992-10-30,1.875000,1.910714,1.857142,1.875000,1.770042,32457600
1992-11-02,1.866071,1.883928,1.848214,1.866071,1.761612,42523600
1992-11-03,1.857142,1.875000,1.839285,1.857142,1.753183,28187600
1992-11-04,1.875000,1.883928,1.857142,1.875000,1.770042,34090000
1992-11-05,1.964285,1.964285,1.875000,1.964285,1.854329,74513600
1992-11-06,1.991071,2.017857,1.955357,1.991071,1.879615,65993200
1992-11-09,1.973214,2.000000,1.955357,1.973214,1.862758,28232400
1992-11-10,2.008928,2.017857,1.955357,2.008928,1.896472,30556400
1992-11-11,2.026785,2.080357,2.008928,2.026785,1.913329,35106400
1992-11-12,2.031256,2.053571,2.013399,2.031256,1.917551,26899600
1992-11-13,2.008928,2.044642,2.000000,2.008928,1.896472,21187600
1992-11-16,2.049113,2.062500,2.000000,2.049113,1.934408,16886800
1992-11-17,1.973214,2.053571,1.959828,1.973214,1.862758,42201600
1992-11-18,2.062500,2.080357,1.982142,2.062500,1.947046,76202000
1992-11-19,2.080357,2.125000,2.062500,2.080357,1.963904,60135600
1992-11-20,2.053571,2.098214,2.035714,2.053571,1.938616,38872400
1992-11-23,2.026785,2.035714,2.008928,2.026785,1.913329,38180800
1992-11-24,2.053571,2.053571,2.017857,2.053571,1.938616,39205600
1992-11-25,2.017857,2.044642,2.000000,2.017857,1.904901,29330000
1992-11-27,2.017857,2.044642,2.008928,2.017857,1.904901,11799200
1992-11-30,2.053571,2.053571,1.986613,2.053571,1.939646,40126800
1992-12-01,2.080357,2.107142,2.026785,2.080357,1.964947,32012400
